factor_name,horizon_days,mean_rank_ic,std_rank_ic,rank_icir,observations
liquidity_20d_z,1,-0.019695248846007957,0.16814393609548012,-0.11713326869441226,2420
lowturn_20d_z,1,0.0242745915884413,0.25497625953890907,0.09520334023386608,2420
lowvol_20d_z,1,0.022097760309690444,0.24577130975794403,0.089911879183352,2419
mom_60_20d_z,1,0.0032195517572973023,0.2048543570060817,0.015716296223085558,2369
reversal_20d_z,1,0.017323293178664694,0.2156507044943801,0.08033033427496242,2409
liquidity_20d_z,5,-0.029305574561359436,0.17598877648413186,-0.1665195653201316,2416
lowturn_20d_z,5,0.025482174924864407,0.2500134538929922,0.1019232146433647,2416
lowvol_20d_z,5,0.017307824193876598,0.23916361742294764,0.0723681318269604,2415
mom_60_20d_z,5,-0.004822128246271968,0.20514138081250943,-0.02350636535238685,2365
reversal_20d_z,5,0.01522555839615123,0.19992768905344097,0.07615532629940726,2405
liquidity_20d_z,10,-0.03754489667226687,0.17606674428789507,-0.2132424088610137,2411
lowturn_20d_z,10,0.02752993132797285,0.2501333534790385,0.11006101723367291,2411
lowvol_20d_z,10,0.016109077379575214,0.23741015991358014,0.06785336139548152,2410
mom_60_20d_z,10,-0.008086931060755058,0.19967380141365515,-0.04050071167825232,2360
reversal_20d_z,10,0.011644642775094902,0.19218717304849348,0.06059011426406005,2400
liquidity_20d_z,20,-0.05116415885259673,0.17888153074477137,-0.28602259070332914,2401
lowturn_20d_z,20,0.03273225707172382,0.25885803764712983,0.12644867962857614,2401
lowvol_20d_z,20,0.019457084380341546,0.2443787876450259,0.07961854859761425,2400
mom_60_20d_z,20,-0.010228970245686265,0.18737986101487825,-0.054589485712523124,2350
reversal_20d_z,20,0.016738127929477875,0.18401762844731795,0.09095937204880239,2390
liquidity_20d_z,60,-0.08245141073597098,0.1694109404370917,-0.4866947230399687,2361
lowturn_20d_z,60,0.03779148325616379,0.25280329970909465,0.14948967556851964,2361
lowvol_20d_z,60,0.029156699796238215,0.23607736728028783,0.12350484983857563,2360
mom_60_20d_z,60,-0.0037995981053443105,0.1683737526437123,-0.022566451395690277,2310
reversal_20d_z,60,0.014391793372163989,0.18188297393366332,0.07912666623437216,2350
