factor_name,reversal_1m,momentum_1m,momentum_3m,momentum_6m,momentum_12m,volatility_1m,volatility_3m,turnover_1m,turnover_3m,liquidity_1m
reversal_1m,1.0,-1.0,-0.6691119688859949,-0.5371164865986056,-0.38834434049099714,0.1649899037327399,0.05270277429986806,0.16810261501421506,0.07221194384566462,-0.1385587184486409
momentum_1m,-1.0,1.0,0.6691119688859949,0.5371164865986056,0.38834434049099714,-0.1649899037327399,-0.05270277429986806,-0.16810261501421506,-0.07221194384566462,0.1385587184486409
momentum_3m,-0.6691119688859949,0.6691119688859949,1.0,0.829419231496831,0.6173440989421547,-0.2785434964771059,-0.2295989370745829,-0.2620515478897004,-0.20471413456610196,0.25631838652806693
momentum_6m,-0.5371164865986056,0.5371164865986056,0.829419231496831,1.0,0.7619042140484386,-0.29621588786696607,-0.2898324210089208,-0.26712584089856223,-0.2378257691201893,0.3013756406597397
momentum_12m,-0.38834434049099714,0.38834434049099714,0.6173440989421547,0.7619042140484386,1.0,-0.33320647181602675,-0.34067741366740845,-0.29890442665749645,-0.27115614435708607,0.35579649735903734
volatility_1m,0.1649899037327399,-0.1649899037327399,-0.2785434964771059,-0.29621588786696607,-0.33320647181602675,1.0,0.9455351455031612,0.9026132531044583,0.8799327161022624,-0.9130820157579769
volatility_3m,0.05270277429986806,-0.05270277429986806,-0.2295989370745829,-0.2898324210089208,-0.34067741366740845,0.9455351455031612,1.0,0.9046708424083022,0.9195729352929101,-0.919281258444141
turnover_1m,0.16810261501421506,-0.16810261501421506,-0.2620515478897004,-0.26712584089856223,-0.29890442665749645,0.9026132531044583,0.9046708424083022,1.0,0.9658751096612613,-0.951861628247106
turnover_3m,0.07221194384566462,-0.07221194384566462,-0.20471413456610196,-0.2378257691201893,-0.27115614435708607,0.8799327161022624,0.9195729352929101,0.9658751096612613,1.0,-0.9346463153018557
liquidity_1m,-0.1385587184486409,0.1385587184486409,0.25631838652806693,0.3013756406597397,0.35579649735903734,-0.9130820157579769,-0.919281258444141,-0.951861628247106,-0.9346463153018557,1.0
