factor_name,drift_regime,observations,future_4w_rank_ic,future_12w_rank_ic,future_4w_long_short_return,future_12w_long_short_return,downside_probability,future_12w_factor_drawdown,mean_eot_drift,mean_shift,covariance_shift
liquidity_1m,high_drift,66,-0.019344203435046902,0.007481771686166848,0.003345557937112318,0.05858241396699303,0.39749840323610813,-0.06746511012240589,0.8914768135808832,0.5357547095143712,1.98948026665818
liquidity_1m,normal_drift,230,-0.04218243942673886,-0.051773731445402066,-0.004106286669970941,-0.02808202187931973,0.5630434782608694,-0.09911494027685398,0.4408245055491812,0.37351775233189255,0.950024666085187
momentum_12m,high_drift,48,0.01843260442738542,0.0260529161130813,0.013856503828533318,0.05513900270570093,0.43402777777777785,-0.04922070544715015,1.474870235574316,0.48085922107577445,3.5080953189715376
momentum_12m,normal_drift,200,0.012393623927476624,0.008334440035786844,0.004217142946578251,0.005118738958755006,0.4648196248196248,-0.08598663649906557,0.5073755587615977,0.32119013512004757,1.1875220676268416
momentum_1m,high_drift,49,0.0005388639353351093,-0.004216333043442577,0.01407944272959046,0.03941584934316802,0.4133022774327123,-0.06728794503208319,0.8542281149360216,0.3322648927474658,2.0536300894010364
momentum_1m,normal_drift,246,-0.015123744451233552,-0.01601608979216396,0.0011232108822463336,0.003217948886420403,0.48688110614340124,-0.07095528486411656,0.3958278896686308,0.2767964342872877,0.9614448068058964
momentum_3m,high_drift,30,-0.018595111320393366,-0.023640015349166255,0.004545319337928438,0.006961215450417936,0.4305555555555556,-0.10644771917031107,1.1687714839024232,0.47059696585706656,3.247697079091941
momentum_3m,normal_drift,257,-0.018617758292929873,-0.01928389855819828,-0.0007671555605350621,-0.004634021943908397,0.5157364460935889,-0.08335765445772932,0.5226194010749216,0.3512933164083339,1.2781800685214644
momentum_6m,high_drift,41,0.025690599122119087,0.027065245637194636,0.025564032818392098,0.07458282790082015,0.33739837398373984,-0.08323097657591659,0.8810800660147277,0.4638124125335286,2.271016297976736
momentum_6m,normal_drift,234,-0.012309752634328623,-0.01399048706397248,-0.00452998056935618,-0.016241416743348475,0.5264144879865403,-0.08827781730703614,0.5907663856532965,0.3798520190762983,1.330187244784604
reversal_1m,high_drift,47,0.012048261004439861,0.007704909425613949,-0.00510314123436116,-0.04184423926831529,0.554263565891473,-0.08511443447121655,1.1244285248368604,0.5197551276373878,2.692371837233766
reversal_1m,normal_drift,248,0.012587167613184567,0.015310365003827323,-0.0029609467478701047,-0.003087766098339762,0.5163396544975493,-0.07449567420786225,0.46740011681390486,0.3078912317420762,1.1038729418651567
turnover_1m,high_drift,76,-0.002060972057680842,0.008890018098913195,-0.01798016686956044,-0.04045784243202163,0.5766238847224763,-0.11381730903343819,1.4305699699377548,0.7877348022315235,2.3353011906173853
turnover_1m,normal_drift,220,0.05840000478874065,0.057156456654653146,0.01178767605701456,0.033083961609074744,0.4113636363636364,-0.0651717773700537,0.4442984683006219,0.34635556583083227,1.112253005140271
turnover_3m,high_drift,73,-0.0029074796649738903,0.005990799529920017,-0.018851191820278383,-0.04548950421227282,0.5409865461336051,-0.11271743845949884,1.5804250110445144,0.8304538734261683,2.493690757589653
turnover_3m,normal_drift,221,0.05239610453577187,0.05120024793161489,0.012146486472895318,0.03420883691562307,0.44494720965309204,-0.06430935324628358,0.4411182913162264,0.32930147590365133,1.0667385263758768
volatility_1m,high_drift,67,0.009779983002133298,0.022470410106973322,-0.013411390205975553,-0.014379046281220728,0.5914938556067589,-0.08884070517571845,1.1504576574990562,0.6656463512074278,2.110851258403968
volatility_1m,normal_drift,229,0.04930679304312322,0.04846946738961516,0.0047508715883088385,0.01068486271948773,0.46015394115830793,-0.0849707299704149,0.5181707011156943,0.3758947737524805,1.1421511045045056
volatility_3m,high_drift,53,0.03638662251284532,0.006319128914345694,-0.002522366209600529,-0.054784895148322986,0.5560478294853294,-0.11066089979880807,1.1760115535384568,0.6574537652851932,2.16563991849257
volatility_3m,normal_drift,240,0.04805474791250999,0.05577474168274663,0.0049067195801935385,0.02614245606782796,0.46111111111111114,-0.08794098487731418,0.5053751071861846,0.3695970950922959,1.217607971277961
