strategy,regime_dimension,regime,months,annual_return,sharpe,max_drawdown
cluster_representative_equal,early_late,early,8,0.130787323779751,1.1705898159264732,-0.05652026944963229
cluster_representative_equal,early_late,late,98,0.08344324260672509,0.4418032759722238,-0.2413486527074169
equal_eligible,early_late,early,8,0.15942830567861987,2.020561056819426,-0.017460478315079686
equal_eligible,early_late,late,98,0.05872247316090551,0.39093837953055927,-0.22224028399000184
icir_eot,early_late,early,8,0.102043030735667,1.2383117848730403,-0.03960077121845362
icir_eot,early_late,late,98,0.044923809651283175,0.3011658530654266,-0.23854211835200367
icir_eot_redundancy,early_late,early,8,0.09887634794778344,1.1756924528137107,-0.04216448886169022
icir_eot_redundancy,early_late,late,98,0.047560680283379675,0.31962469094661383,-0.230553825915911
icir_eot_redundancy_cost,early_late,early,8,0.10241130625434147,1.1795076604091668,-0.046352848892191045
icir_eot_redundancy_cost,early_late,late,98,0.05106639022918924,0.3418680481157907,-0.22574454170233438
icir_weighted,early_late,early,8,0.102043030735667,1.2383117848730403,-0.03960077121845362
icir_weighted,early_late,late,98,0.04750204472375752,0.3205646295982031,-0.23854211835200367
lifecycle_filtered_drift,early_late,early,8,0.10241130625434147,1.1795076604091668,-0.046352848892191045
lifecycle_filtered_drift,early_late,late,98,0.046071474919300526,0.30463499446478,-0.23910295568961393
cluster_representative_equal,bull_bear,bear,28,-0.13292001418427424,-0.7305494494479241,-0.2949445785157797
cluster_representative_equal,bull_bear,bull,78,0.17880226865751347,0.9937677135727613,-0.1660926427678312
equal_eligible,bull_bear,bear,28,-0.06907223144166597,-0.47885046062843245,-0.20956798963691536
equal_eligible,bull_bear,bull,78,0.11913893908243156,0.8223268385879802,-0.08932408248866541
icir_eot,bull_bear,bear,28,-0.07918779364845474,-0.5054257958695954,-0.22042760010262052
icir_eot,bull_bear,bull,78,0.09943065844125032,0.7143409493914975,-0.12333779575215509
icir_eot_redundancy,bull_bear,bear,28,-0.07559353612553599,-0.4817626529301839,-0.21282469437681717
icir_eot_redundancy,bull_bear,bull,78,0.10105125628543776,0.7282713458076527,-0.11745196814752712
icir_eot_redundancy_cost,bull_bear,bear,28,-0.07522243619787028,-0.4830601371424702,-0.211425383150321
icir_eot_redundancy_cost,bull_bear,bull,78,0.10588769121521668,0.7562128024105147,-0.12049707941528831
icir_weighted,bull_bear,bear,28,-0.07680723400033085,-0.4899085940196092,-0.2157168580245783
icir_weighted,bull_bear,bull,78,0.10181833460560652,0.7387184323344582,-0.12333779575215509
lifecycle_filtered_drift,bull_bear,bear,28,-0.09367495364323286,-0.6083341769786689,-0.23037303280617705
lifecycle_filtered_drift,bull_bear,bull,78,0.10727115731261216,0.7525412349211794,-0.11333044893579147
cluster_representative_equal,vol_regime,high_vol,54,0.16250800691558864,0.7957867142301241,-0.1660926427678313
cluster_representative_equal,vol_regime,low_vol,52,0.013672124341009395,0.08592681106651784,-0.18783858831573041
equal_eligible,vol_regime,high_vol,54,0.15620567239974958,0.9332467547203085,-0.08572824031770854
equal_eligible,vol_regime,low_vol,52,-0.020219162866184526,-0.1743777508478841,-0.2182001090570781
icir_eot,vol_regime,high_vol,54,0.14755648389191633,0.8732226377663254,-0.07576089301353184
icir_eot,vol_regime,low_vol,52,-0.04415782481018293,-0.4026539102421078,-0.250510321103823
icir_eot_redundancy,vol_regime,high_vol,54,0.1492900339743244,0.8841481526007318,-0.07576089301353173
icir_eot_redundancy,vol_regime,low_vol,52,-0.0415356329107639,-0.3804778867238345,-0.2475503812730041
icir_eot_redundancy_cost,vol_regime,high_vol,54,0.15317699702068555,0.9000199545134597,-0.07584493244909274
icir_eot_redundancy_cost,vol_regime,low_vol,52,-0.03838255028712556,-0.35293645968848686,-0.2387753311000984
icir_weighted,vol_regime,high_vol,54,0.15129736882050038,0.9017537144642984,-0.07576089301353184
icir_weighted,vol_regime,low_vol,52,-0.04294829174480552,-0.39444728153997205,-0.257534553785857
lifecycle_filtered_drift,vol_regime,high_vol,54,0.14313838723577965,0.8337860430947867,-0.09056923998105082
lifecycle_filtered_drift,vol_regime,low_vol,52,-0.03828438003069301,-0.3422357795492144,-0.23809246620092683
