factor_name,factor_family,available_weeks,coverage_ratio,mean_rank_ic,rank_ic_std,mean_long_short_return,positive_period_ratio,factor_turnover,icir,long_short_t_stat
liquidity_1m,price_volume,507,0.9995190157202866,-0.03074745031199966,0.19692168424883758,-0.0003874102106505995,0.46745562130177515,0.16328690549291827,-0.1561405003683903,-0.35283352846733085
momentum_12m,price_volume,459,0.9900295367077027,0.01843610822628669,0.20359040496755662,0.0026394281236949584,0.5620915032679739,0.20120731056868627,0.09055489736475841,2.030840585260922
momentum_1m,price_volume,506,1.0,-0.021807229590423905,0.17590137673429512,9.006714705244538e-05,0.5,0.5273489683406722,-0.12397418368910466,0.08649233411090593
momentum_3m,price_volume,498,1.0,-0.01572881388904484,0.19225590367077006,0.00024172920711267734,0.5160642570281124,0.36310792398062924,-0.08181186423268309,0.20924497011168453
momentum_6m,price_volume,486,0.9996551089620302,-0.0010689050880733296,0.20028820694471716,0.0009216003931763986,0.5246913580246914,0.27628877672894087,-0.005336834875996294,0.7662697673507618
reversal_1m,price_volume,506,1.0,0.021807229590423905,0.17590137673429512,-9.006714705244538e-05,0.5,0.5273489683406722,0.12397418368910466,-0.08649233411090593
turnover_1m,price_volume,507,0.9954453503356294,0.041286271947896545,0.1869504983116136,0.0013634304201002817,0.5463510848126233,0.16131828661394562,0.22084066274634687,1.3061132125839126
turnover_3m,price_volume,505,0.9966193505602243,0.03591815856725414,0.18874350452801342,0.0012489205665977205,0.5465346534653466,0.08882692233324035,0.1903014286879639,1.207141327617137
volatility_1m,risk,507,1.0,0.03829844006061243,0.20050673243290923,0.00021098545789829582,0.514792899408284,0.33469395694665316,0.19100824992710566,0.18677311342701666
volatility_3m,risk,504,1.0,0.03864356298264651,0.22153958929867074,0.00041267973707602543,0.5158730158730159,0.16502909803378935,0.1744318616143538,0.3322234503276823
