factor_name,mean,std,median,p05,p95,missing_rate,skew,kurtosis
size_z,-5.417460665907666e-17,1.0000178353264326,-0.039773134472737726,-1.6082660902158536,1.8209217365531039,0.00887364774093191,0.21980906528222138,0.1181512685011179
roe_z,-2.999651020973967e-17,1.000018022401847,-0.12566841122075892,-1.2913277454340204,1.6561886513189688,0.019161422611892808,0.9587079874081552,6.326064955620927
gross_profitability_z,-1.7017268890838042e-17,1.0000192372433048,-0.23332188900778064,-1.1340054044521897,2.0017755329155786,0.08110019090716256,1.784136357128399,5.811888659437023
ocf_to_assets_z,9.990650663628952e-18,1.000017969290484,-0.0818014845160596,-1.457735390956732,1.7144530907942437,0.01626246199533338,1.1037597440146751,5.964455940846679
revenue_growth_z,1.1606209011753782e-17,1.000021352693111,-0.22897315503078236,-1.124561939192744,1.75065770888724,0.17213462490277875,1.9419280159739845,7.053659725215639
earnings_growth_z,-3.935326703924393e-18,1.00001995908388,-0.086722573016014,-0.8674435330980272,1.2295850224029754,0.11433217846284381,0.9644689332622063,18.15389137039869
rolling_beta_z,3.7470854617640945e-17,1.00001863498719,0.005220683944266375,-1.6113765876489523,1.6930964559747483,0.05140352117655377,0.013621374312028471,-0.2933654137409887
idiosyncratic_volatility_z,1.441632229903682e-17,1.0000196988052694,-0.0827360669612364,-1.5177431903389103,1.7945611059157545,0.10263027646185392,0.3969358986680721,0.05861520708835544
downside_beta_z,3.0053887049553316e-17,1.0000186335982426,-0.013686409382173557,-1.6406164398315066,1.6774224326881382,0.05133281482005232,-4.879064601198767e-05,-0.05882982370160894
roe_neutral_z,-1.47261416184421e-18,1.000018022401847,-0.011354147103589698,-1.514873699776832,1.6071482755756177,0.019161422611892808,0.32337929774988894,4.002056372875803
gross_profitability_neutral_z,-2.6653553684445124e-18,1.0000192372433048,-0.007228366983506426,-1.4448969576237551,1.7539506158811544,0.08110019090716256,0.8381072609404108,4.016499141135563
ocf_to_assets_neutral_z,1.2129224447856235e-18,1.000017969290484,0.003137396696280167,-1.5882708947915043,1.6935963788219277,0.01626246199533338,0.10001759954388925,2.7009859303508534
revenue_growth_neutral_z,4.777207506992928e-18,1.0000215153242922,0.01015232004691885,-1.488582435488088,1.651456116672122,0.17839213745315705,0.8404495231160414,4.182487506026384
earnings_growth_neutral_z,2.678570970988355e-19,1.0000201059584028,-0.023409709459812723,-1.2443521035665388,1.3118258152293047,0.12080181008272643,0.7140889107623515,10.990486982488449
rolling_beta_neutral_z,-1.3342523298909006e-19,1.0000187784611068,-0.0014347674070092724,-1.7040595049939269,1.7488930524234685,0.058650922717952345,-0.10534396010550802,0.7452043447062349
idiosyncratic_volatility_neutral_z,-1.408353951795965e-19,1.0000198214091058,0.0010866591415358937,-1.6213376233968986,1.752193635476815,0.1081807254472177,0.28172505486541854,0.6358521448687569
downside_beta_neutral_z,1.4008597253898104e-18,1.0000187770506903,-0.0007987179655837141,-1.7256524711808325,1.6774283384630555,0.058580216361450894,-0.1633900640192765,0.7509154715266222
