,bp_z,ep_z,sp_z,cfp_z,value_composite_raw_z,bp_size_neutral_z,bp_industry_neutral_z,bp_industry_size_neutral_z,ep_size_neutral_z,ep_industry_neutral_z,ep_industry_size_neutral_z,sp_size_neutral_z,sp_industry_neutral_z,sp_industry_size_neutral_z,cfp_size_neutral_z,cfp_industry_neutral_z,cfp_industry_size_neutral_z,value_composite_raw_size_neutral_z,value_composite_raw_industry_neutral_z,value_composite_raw_industry_size_neutral_z
bp_z,1.0,0.3552269827593702,0.6473101198830756,0.17919775540425797,0.8934842980429423,0.78856607304796,0.6422623523442538,0.5064883084959485,0.25982855466424876,0.17981784183660995,0.11528537579059844,0.3569016794330437,0.3738244579190625,0.24881714355054993,0.09326957724131288,0.07077032688611641,0.02466912440134775,0.6295757109453102,0.5533136092510222,0.4066898480020545
ep_z,0.3552269827593702,1.0,0.3664977707504029,0.29766637438457216,0.4307702853799892,0.3987859519016481,0.1801831397414553,0.2111349074243688,0.8497015972747629,0.6183352648587538,0.569201443444929,0.35802440403247787,0.15984497545540285,0.17595415575761336,0.26698427597175417,0.18567937405522028,0.18130427933711396,0.44873500276627626,0.21501623947497772,0.2413729422830388
sp_z,0.6473101198830756,0.3664977707504029,1.0,0.28547511314033436,0.8656305357734451,0.5782002246095871,0.35955531220664794,0.3200763376814827,0.30083059153773856,0.17729086684458292,0.14719147106482736,0.7817334570152185,0.49938528002363924,0.4443734356569667,0.21916649672913457,0.10450975156084753,0.07718062289478109,0.7429439043419521,0.47715695197079355,0.4195435729444591
cfp_z,0.17919775540425797,0.29766637438457216,0.28547511314033436,1.0,0.3253337804458531,0.2076569336237365,0.09078290149069601,0.12037152450619558,0.2734957949170336,0.20080092427100724,0.19517939373141516,0.28541522825696825,0.13591221169520115,0.1528466968811683,0.8049887981529084,0.6028731427494358,0.5589711743147245,0.3382900570010997,0.19855804977992544,0.22421016395499987
value_composite_raw_z,0.8934842980429423,0.4307702853799892,0.8656305357734451,0.3253337804458531,1.0,0.7456237173864468,0.5465345946248032,0.45411498846661585,0.33617399283943905,0.2197319489463153,0.16691696495738587,0.5998863703314677,0.4725996893307629,0.37569168529461744,0.2323704890182449,0.15368711758493922,0.11241940511056364,0.780995250246619,0.5973101824449226,0.4855602883599683
bp_size_neutral_z,0.78856607304796,0.3987859519016481,0.5782002246095871,0.2076569336237365,0.7456237173864468,1.0,0.4840097955890384,0.6496398137747788,0.35352718648000014,0.23163562983000932,0.23623776601422503,0.6527038300277757,0.30091336960308335,0.3949709995564942,0.220135669162055,0.10658092598975581,0.13471601172945574,0.8686361442922674,0.43420300779479737,0.5484174405306497
bp_industry_neutral_z,0.6422623523442538,0.1801831397414553,0.35955531220664794,0.09078290149069601,0.5465345946248032,0.4840097955890384,1.0,0.8167801508873598,0.11817815789079011,0.2599972933845392,0.1794009319911988,0.14430698218341767,0.5437726597462981,0.3840496557748726,0.03304535011392069,0.17487671700713825,0.1128631680707169,0.34302840148008984,0.8336831194341335,0.6254603921127957
bp_industry_size_neutral_z,0.5064883084959485,0.2111349074243688,0.3200763376814827,0.12037152450619558,0.45411498846661585,0.6496398137747788,0.8167801508873598,1.0,0.19088483423584446,0.3109185800734472,0.31191368600108965,0.36029421462776323,0.4985227061418102,0.5608403909562627,0.14061740692083502,0.2086755527456312,0.22448221055174028,0.5277823601610524,0.7180690204079031,0.8077455772428442
ep_size_neutral_z,0.25982855466424876,0.8497015972747629,0.30083059153773856,0.2734957949170336,0.33617399283943905,0.35352718648000014,0.11817815789079011,0.19088483423584446,1.0,0.5371056313089916,0.6117361006147591,0.37790959578817773,0.14027892122260324,0.1965144638609191,0.38576373728957825,0.17662102507365948,0.2197217571282915,0.45368838577487297,0.16528503024807892,0.251786817211034
ep_industry_neutral_z,0.17981784183660995,0.6183352648587538,0.17729086684458292,0.20080092427100724,0.2197319489463153,0.23163562983000932,0.2599972933845392,0.3109185800734472,0.5371056313089916,1.0,0.9140622904743639,0.17824922096679324,0.24626686105584938,0.2731869978509332,0.17714290491743576,0.31289341235579193,0.30146338317169824,0.24870149823973212,0.326339131366215,0.36352274942757834
ep_industry_size_neutral_z,0.11528537579059844,0.569201443444929,0.14719147106482736,0.19517939373141516,0.16691696495738587,0.23623776601422503,0.1794009319911988,0.31191368600108965,0.6117361006147591,0.9140622904743639,1.0,0.23786194246969528,0.2129496208563355,0.30636267432351116,0.2631938806623508,0.30446831762288246,0.3741703736584558,0.2951158429967252,0.26353372398067143,0.4073875474982095
sp_size_neutral_z,0.3569016794330437,0.35802440403247787,0.7817334570152185,0.28541522825696825,0.5998863703314677,0.6527038300277757,0.14430698218341767,0.36029421462776323,0.37790959578817773,0.17824922096679324,0.23786194246969528,1.0,0.3946319003818062,0.549382741781877,0.3704660251035455,0.11788615565443336,0.19916882136668013,0.8957093043000909,0.297655543765712,0.5068326231662935
sp_industry_neutral_z,0.3738244579190625,0.15984497545540285,0.49938528002363924,0.13591221169520115,0.4725996893307629,0.30091336960308335,0.5437726597462981,0.4985227061418102,0.14027892122260324,0.24626686105584938,0.2129496208563355,0.3946319003818062,1.0,0.8903524439236746,0.11783627237707624,0.2916424603179593,0.24166701849820876,0.3882768694179782,0.8299596051073423,0.7525768789849996
sp_industry_size_neutral_z,0.24881714355054993,0.17595415575761336,0.4443734356569667,0.1528466968811683,0.37569168529461744,0.3949709995564942,0.3840496557748726,0.5608403909562627,0.1965144638609191,0.2731869978509332,0.30636267432351116,0.549382741781877,0.8903524439236746,1.0,0.20409727907354508,0.30726390359439626,0.3452035914158878,0.5175972009707731,0.6892905199746368,0.84941652503661
cfp_size_neutral_z,0.09326957724131288,0.26698427597175417,0.21916649672913457,0.8049887981529084,0.2323704890182449,0.220135669162055,0.03304535011392069,0.14061740692083502,0.38576373728957825,0.17714290491743576,0.2631938806623508,0.3704660251035455,0.11783627237707624,0.20409727907354508,1.0,0.5321640071276246,0.6019306900414381,0.4103063361755401,0.15368448459565348,0.28601349418667793
cfp_industry_neutral_z,0.07077032688611641,0.18567937405522028,0.10450975156084753,0.6028731427494358,0.15368711758493922,0.10658092598975581,0.17487671700713825,0.2086755527456312,0.17662102507365948,0.31289341235579193,0.30446831762288246,0.11788615565443336,0.2916424603179593,0.30726390359439626,0.5321640071276246,1.0,0.9052001223716066,0.17791053427726963,0.3588250916253907,0.3888791337127699
cfp_industry_size_neutral_z,0.02466912440134775,0.18130427933711396,0.07718062289478109,0.5589711743147245,0.11241940511056364,0.13471601172945574,0.1128631680707169,0.22448221055174028,0.2197217571282915,0.30146338317169824,0.3741703736584558,0.19916882136668013,0.24166701849820876,0.3452035914158878,0.6019306900414381,0.9052001223716066,1.0,0.24397289385139292,0.2963683146602931,0.4462406168617479
value_composite_raw_size_neutral_z,0.6295757109453102,0.44873500276627626,0.7429439043419521,0.3382900570010997,0.780995250246619,0.8686361442922674,0.34302840148008984,0.5277823601610524,0.45368838577487297,0.24870149823973212,0.2951158429967252,0.8957093043000909,0.3882768694179782,0.5175972009707731,0.4103063361755401,0.17791053427726963,0.24397289385139292,1.0,0.44018562464784267,0.6109270151003298
value_composite_raw_industry_neutral_z,0.5533136092510222,0.21501623947497772,0.47715695197079355,0.19855804977992544,0.5973101824449226,0.43420300779479737,0.8336831194341335,0.7180690204079031,0.16528503024807892,0.326339131366215,0.26353372398067143,0.297655543765712,0.8299596051073423,0.6892905199746368,0.15368448459565348,0.3588250916253907,0.2963683146602931,0.44018562464784267,1.0,0.8347373204065898
value_composite_raw_industry_size_neutral_z,0.4066898480020545,0.2413729422830388,0.4195435729444591,0.22421016395499987,0.4855602883599683,0.5484174405306497,0.6254603921127957,0.8077455772428442,0.251786817211034,0.36352274942757834,0.4073875474982095,0.5068326231662935,0.7525768789849996,0.84941652503661,0.28601349418667793,0.3888791337127699,0.4462406168617479,0.6109270151003298,0.8347373204065898,1.0
