factor_name,mean,std,median,p05,p95,missing_rate,skew,kurtosis,mean_ticker_autocorr_lag1
bp_z,0.0,1.0000178353264326,-0.32268793917265504,-0.9846043168597591,2.097391903061028,0.00887364774093191,1.6909283686843046,3.1202691606594883,0.9097018153209712
ep_z,8.175968192852646e-18,1.0000179796290818,-0.08655603312463976,-1.0612713197748813,1.5257156846095887,0.016828112847344975,0.4156147054981672,10.24156068536527,0.8305013490454284
sp_z,0.0,1.0000192372433048,-0.3605732226573799,-0.6642049850513473,2.2190476225047044,0.08110019090716256,2.903129565496233,9.513339047921615,0.7514131121538937
cfp_z,1.634253399290103e-17,1.000017969290484,-0.13142931920944836,-1.0045863475516996,1.4592372003169405,0.01626246199533338,2.3501540271911336,14.87236496494253,0.8030210535584184
value_composite_raw_z,-3.2441401882394446e-17,1.0000178353264326,-0.3304259336215238,-0.8537188379727052,2.1383272116933614,0.00887364774093191,2.328010399055079,6.421468971755699,0.8385167062189786
bp_size_neutral_z,0.0,1.0000178353264324,-0.26926856288432843,-1.1215097408985784,1.9984447578233142,0.00887364774093191,1.4394857141936601,2.4797608364970363,0.8919601154850408
bp_industry_neutral_z,-3.2441401882394446e-17,1.0000178353264324,-0.029253883574293142,-1.415600156873609,1.6823425653703499,0.00887364774093191,0.136622169940233,3.1485212894338708,0.9006006419220056
bp_industry_size_neutral_z,0.0,1.0000178353264326,0.004702539951002581,-1.4896523498128753,1.693623026024024,0.00887364774093191,-0.04954184619086825,2.783527565300535,0.8749173420567774
ep_size_neutral_z,8.175968192852646e-18,1.0000179796290818,-0.06723286240643091,-1.3185357110714622,1.571901642492203,0.016828112847344975,0.23156928622293435,7.16601577297927,0.8529369022340079
ep_industry_neutral_z,-1.2263952289278968e-17,1.0000179796290818,0.0633136073698411,-1.3166681303273062,1.2157851266322652,0.016828112847344975,-1.6593967250253199,11.389326695488165,0.7849125723856624
ep_industry_size_neutral_z,2.0439920482131614e-18,1.0000179796290818,0.06250134051292305,-1.346799961219665,1.2684277643398931,0.016828112847344975,-1.541834675901787,9.442512006998793,0.7893655696514451
sp_size_neutral_z,0.0,1.0000192372433048,-0.29481103312626766,-0.9124073753550903,2.194408407028015,0.08110019090716256,2.3920554631457875,6.890795427960199,0.7722458149242436
sp_industry_neutral_z,8.747833004125579e-18,1.0000192372433048,-0.062429342059784815,-1.3243226745607943,1.7713921208294172,0.08110019090716256,1.229063843027912,6.68289338567016,0.7491619708310332
sp_industry_size_neutral_z,0.0,1.0000192372433048,-0.03677374528906695,-1.327406346837589,1.70297902221885,0.08110019090716256,1.1024542522364376,5.776742034507435,0.7553518250365029
cfp_size_neutral_z,0.0,1.000017969290484,-0.09558718266260856,-1.2264416228402168,1.5640968352256228,0.01626246199533338,1.7202883493675183,10.49865302520412,0.8147468290557267
cfp_industry_neutral_z,-2.042816749112629e-18,1.000017969290484,0.004660476297649279,-1.437116366202667,1.3727627283423445,0.01626246199533338,0.3441024462373351,9.24511465406896,0.788584402074675
cfp_industry_size_neutral_z,-4.085633498225258e-18,1.000017969290484,0.005799409351198469,-1.456002663486681,1.4546897582329377,0.01626246199533338,0.38565443143799977,7.799084722643824,0.7783091583061985
value_composite_raw_size_neutral_z,0.0,1.0000178353264326,-0.2868904559025787,-1.0426209060337281,2.0693070472805224,0.00887364774093191,1.828601309475587,4.197420971752335,0.8151144895516104
value_composite_raw_industry_neutral_z,0.0,1.0000178353264326,-0.035768674600302294,-1.3473793905117586,1.6627426419850246,0.00887364774093191,0.4541879621142562,5.155185501307553,0.8286866332834382
value_composite_raw_industry_size_neutral_z,1.6220700941197223e-17,1.0000178353264326,-0.0030500108547525835,-1.4252906508517316,1.6860624962013353,0.00887364774093191,0.2899973483295582,3.8247699593463724,0.8093991297074422
